Article Number,Total Words (m),Frequency (f),f/m
Article #1,99,5,0.050505050505050504
Article #2,93,2,0.021505376344086023
Article #3,97,2,0.020618556701030927
Article #4,77,3,0.03896103896103896
Article #5,61,3,0.04918032786885246
Article #6,110,3,0.02727272727272727
Article #7,96,1,0.010416666666666666
Article #8,106,1,0.009433962264150943
Article #9,62,2,0.03225806451612903
Article #10,63,2,0.031746031746031744
Article #11,94,3,0.031914893617021274
Article #12,75,2,0.02666666666666667
Article #13,92,2,0.021739130434782608
Article #14,93,0,0.0
Article #15,90,2,0.022222222222222223
Article #16,96,2,0.020833333333333332
Article #17,91,2,0.02197802197802198
Article #18,106,7,0.0660377358490566
Article #19,90,0,0.0
Article #20,95,6,0.06315789473684211
Article #21,103,1,0.009708737864077669
Article #22,63,2,0.031746031746031744
Article #23,99,4,0.04040404040404041
Article #24,94,2,0.02127659574468085
Article #25,95,1,0.010526315789473684
Article #26,97,6,0.061855670103092786
Article #27,100,5,0.05
Article #28,107,7,0.06542056074766354
Article #29,100,1,0.01
Article #30,103,2,0.019417475728155338
Article #31,86,0,0.0
Article #32,103,7,0.06796116504854369
Article #33,99,6,0.06060606060606061
Article #34,86,4,0.046511627906976744
Article #35,102,6,0.058823529411764705
Article #36,98,3,0.030612244897959183
Article #37,89,1,0.011235955056179775
Article #38,94,4,0.0425531914893617
Article #39,100,6,0.06
Article #40,92,3,0.03260869565217391
Article #41,99,2,0.020202020202020204
Article #42,103,0,0.0
Article #43,90,0,0.0
Article #44,106,0,0.0
Article #45,93,0,0.0
Article #46,45,3,0.06666666666666667
Article #47,92,3,0.03260869565217391
Article #48,93,3,0.03225806451612903
Article #49,89,2,0.02247191011235955
Article #50,94,3,0.031914893617021274
Article #51,109,5,0.045871559633027525
Article #52,99,3,0.030303030303030304
Article #53,94,4,0.0425531914893617
Article #54,67,2,0.029850746268656716
Article #55,96,2,0.020833333333333332
Article #56,95,1,0.010526315789473684
Article #57,99,3,0.030303030303030304
Article #58,63,1,0.015873015873015872
Article #59,80,1,0.0125
Article #60,98,5,0.05102040816326531
Article #61,107,4,0.037383177570093455
Article #62,94,2,0.02127659574468085
Article #63,94,4,0.0425531914893617
Article #64,98,1,0.01020408163265306
Article #65,94,1,0.010638297872340425
Article #66,96,4,0.041666666666666664
Article #67,89,3,0.033707865168539325
Article #68,98,2,0.02040816326530612
Article #69,52,1,0.019230769230769232
Article #70,93,3,0.03225806451612903
Article #71,104,2,0.019230769230769232
Article #72,86,3,0.03488372093023256
Article #73,95,2,0.021052631578947368
Article #74,88,3,0.03409090909090909
Article #75,89,4,0.0449438202247191
Article #76,90,2,0.022222222222222223
Article #77,47,2,0.0425531914893617
Article #78,58,2,0.034482758620689655
Article #79,93,2,0.021505376344086023
Article #80,75,2,0.02666666666666667
Article #81,75,3,0.04
Article #82,74,3,0.04054054054054054
Article #83,84,3,0.03571428571428571
Article #84,87,2,0.022988505747126436
Article #85,89,3,0.033707865168539325
Article #86,93,4,0.043010752688172046
Article #87,83,1,0.012048192771084338
Article #88,86,3,0.03488372093023256
Article #89,98,3,0.030612244897959183
Article #90,98,3,0.030612244897959183
Article #91,93,1,0.010752688172043012
Article #92,90,1,0.011111111111111112
Article #93,100,1,0.01
Article #94,103,3,0.02912621359223301
Article #95,93,0,0.0
Article #96,90,2,0.022222222222222223
Article #97,102,3,0.029411764705882353
Article #98,106,1,0.009433962264150943
Article #99,87,4,0.04597701149425287
Article #100,106,3,0.02830188679245283
Article #101,85,0,0.0
Article #102,101,0,0.0
Article #103,97,0,0.0
Article #104,42,0,0.0
Article #105,69,0,0.0
Article #106,47,0,0.0
Article #107,92,0,0.0
Article #108,48,0,0.0
Article #109,41,0,0.0
Article #110,48,0,0.0
Article #111,95,0,0.0
Article #112,89,0,0.0
Article #113,93,0,0.0
Article #114,97,0,0.0
Article #115,84,0,0.0
Article #116,56,0,0.0
Article #117,53,0,0.0
Article #118,62,0,0.0
Article #119,69,0,0.0
Article #120,93,0,0.0
Article #121,99,0,0.0
Article #122,102,0,0.0
Article #123,94,0,0.0
Article #124,93,0,0.0
Article #125,88,0,0.0
Article #126,99,0,0.0
Article #127,91,0,0.0
Article #128,104,0,0.0
Article #129,96,0,0.0
Article #130,105,0,0.0
Article #131,96,0,0.0
Article #132,80,0,0.0
Article #133,100,0,0.0
Article #134,92,0,0.0
