Message,Positive_Match,Negative_Match,Polarity,Keywords,Tweet_Number
J4zani 29Howie Is this in Canada,None,None,neutral,['canada'],0
KingVenia ZeroTwoNone Officially 1 in Canada,None,None,neutral,['canada'],1
alebanonymous So next week they will Tayyar University Nurse and Doctor and will stay at Tayyar owned hotels,None,None,neutral,['university'],2
DeleMomodu Mark Promise FridayAcct No 0229930789GT BankUniversity of Uyo,promise,None,positive,None,3
BillGates i i am from Qubec Canada You give to the world Windows Now the world need a great President for USA The world need BillGates,great,None,positive,['canada'],4
RT razorback56 rexglacer She just another Trudeau appointed knownothing Liberal acting in front of tv cameras Shes as useless as her,None,useless,negative,None,5
RT AnaCabrera BREAKING At least 9132 have died from coronavirus in the United States according to Johns Hopkins University Thats m,None,died,negative,['university'],6
RT YannickStromei American patriots if you think you have Fake News medias in your country it aint nothing compared to Canada I evaluat,None,fake,negative,['canada'],7
RT spectatorindex Coronavirus deathsItaly 15887Spain 12418US 9504France 8078UK 4934Iran 3603China 3329Netherlands,None,None,neutral,None,8
RT Hope012015 Premier infuriated by Trump says Canada helped US amId 911,helped,infuriated,positive,['canada'],9
RT cdntourism To get through this together we must all stay apart PhysicalDistancing means you can still go to the grocery store as lo,None,None,neutral,None,10
RT QAnonNotables The military is advising people in the Toronto area to expect a large number of its personnel and vehicles on the roads,None,None,neutral,None,11
RT DougAlder Dear nationalpost and NatPostRadio and NatPostWorks given your relentless attacks on JustinTrudeau one of the best P,best,attacks,negative,None,12
RT segalink Im backing the nmanigeria on this The FG should not disgrace us even further with this demonstration of utter stupidity by,None,stupidity,negative,None,13
RT BreitbartNews Reuters claims a group of 100 Vanderbilt University students that ignored concerns about the Wuhan coronavirus pandemic,None,concerns,negative,['university'],14
Im Beautiful and I Eat a Lot quarantinelife kitchen cooking halifax shoplocal,beautiful,None,positive,['halifax'],15
RT rjjago Canadas current COVID rankTests per capita 30thTesting rank among OECD 17th out of 36Number of confirmed cases 13th,None,None,neutral,None,16
RT Ty1urner Blessed to receive an offer from Southern Wesleyan University TeamSWU TMC,None,None,neutral,['university'],17
RT graemestone mitchellvii wilsoa2000 Thats because they shut Dow their borders While we in Canada are not so fortunate as our leader,fortunate,None,positive,['canada'],18
Pimento UniversityPimento UGood old,None,None,neutral,None,19
RT VibeOne Word to my cuz montycbenjamin I love greenery up in my scenery lol Northern Kentucky University,love,None,positive,['university'],20
SadieTNResist Depending where they are located give them a ticketIn Canada Ontario they handed some teenagers a 100000 ticket for nondiscernment during a stay in place If they are so in touch with Godsupreme being let him pay it,None,None,neutral,['canada'],21
BigMeetyClaws And now people like you wake up to the reality that the economic system works the way it was intended amp claim that you ZYZ amp his grandma could have done a better job Yeah the pandemic demonstrates that Canada is vulnerable Thats the core of the interdependent system we have,better,vulnerable,positive,['canada'],22
AvaAlfonso Idk how America is but in Canada we are allowed to go on walks and hikes really popular parks have been shut down but they are advising us to continue to go on walks so our mental health isnt completely shot,popular,None,positive,['canada'],23
forwardarc realDonaldTrump So does this mean he has it If not why take it Or is he prescribing it as a prophylactic And where did he get his Drs degree at Trump University,trump,None,positive,['university'],24
RT colinkorolppc WBrettWilson Didnt know the government needed approval from trade unions universities municipalities Indigenous com,approval,None,positive,None,25
RT CNN In a haunting letter to his friends and colleagues a Columbia University surgeon describes how coronavirus has forced doctors to,None,haunting,negative,['university'],26
RT ESDCGC Please note In order to reduce the strain on the online portal were asking Canadians to apply for the Canada Emergency,None,emergency,negative,['canada'],27
RT jmcelroy Okay but every province has a slightly different testing regimen I know a friends cousin who has COVID19 and wasnt tes,None,None,neutral,None,28
RT TomTSEC At a certain point the Conservative Party of Canada has to decide whether it stands for Canadians and maintaining Canada or,None,conservative,negative,['canada'],29
Justin Trudeau Stop 5G from coming to Canada Sign the Petition via CdnChange,None,None,neutral,['canada'],30
RT LailaMickelwait In only 6 weeks1 700000 people have signed the petition to hold Pornhub accountable for complicity in rape and tr,None,rape,negative,None,31
karynmarie26 Redson JoeBiden sounds kinda like what Canada pays,like,None,positive,['canada'],32
RT businessinsider A Japanese University used remotecontrolled robots to hold a virtual graduation,None,None,neutral,['university'],33
RT SenSanders Number of people who have no health insurance South Korea 0Canada 0Taiwan 0Japan 0Germany 0Singapo,None,None,neutral,None,34
RT prageru Myths about healthcare in CanadaEverybody gets coveredIts freeIts greatFactsNothing is freeThe quality,None,None,neutral,None,35
RT JohnWarner2036 WHY WE DECIDED TO DROP OUT OF ALABAMA AampM UNIVERSITYGood luck Bulldogs Click here to watch,luck,None,positive,None,36
girlfriendMIA1 Dont deserve u gna go to the university of Jordan instead,None,None,neutral,['university'],37
LauraJeanDawe ArmyWife3333 Time that Canada separate from Trump and his posse of idiots I have many great friends that are American New York is screwed due to Trumps spite of New Yorkers who know his is an idiot Same as Canada,great,idiot,negative,['canada'],38
